--- STARTING NEW MCTS-RANDOM SESSION ---

========================================
MOVE 2 | Playout: RANDOM | Sims: 10021
========================================
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 6 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 3 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 1 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 6 | Wins: 0.0 | Visits: 205 | 0.0%
      Col 4 | Wins: 0.0 | Visits: 30 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 5 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 2 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 0 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 5 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 1 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 3 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 6 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 5 | Wins: 0.0 | Visits: 205 | 0.0%
      Col 2 | Wins: 0.0 | Visits: 30 | 0.0%
        Col 2 | Wins: 0.0 | Visits: 5 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 4 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 5 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 0 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 3 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
        Col 1 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 3 | Wins: 0.0 | Visits: 29 | 0.0%
        Col 6 | Wins: 0.0 | Visits: 4 | 0.0%
          Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
          Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
